Country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;mean
Afghanistan;4.3;4.1;4;4;3.9;4;4;4.1;4.1;4.1;4.06
Albania;7.8;7.9;5.2;5.3;5;4.8;4.7;4.7;4.5;4.3;5.42
Algeria;3;3;2.9;2.9;2.8;2.7;2.6;2.5;2.5;2.5;2.74
Argentina;8.6;8.5;9.1;8.6;9.3;8.3;8.3;8.9;9.2;8.4;8.72
Armenia;6.8;6.8;7.4;6.4;6.3;6.2;5.7;3;2.1;3.3;5.4
Australia;11.7;11.2;11.7;11.5;12.7;13.2;12.2;13.1;12.4;12.5;12.22
Austria;16.1;16.5;16.3;16.2;16.5;16;15.5;15.4;15.7;14.6;15.88
Azerbaijan;4.6;4.5;4.4;4.3;4.2;4.1;4;4;4;4.1;4.22
Bahrain;8.2;7.9;7.4;7.1;7.4;7.4;7.7;8.1;8.6;8.9;7.87
Bangladesh;4.4;4;3.7;3.5;3.5;3.4;3.4;3.5;3.6;3.7;3.67
Belarus;35.9;36.2;29.9;27.9;26.3;24.3;24.2;23.3;22.8;21.2;27.2
Belgium;20.5;21.1;20.8;19.5;19.4;18.6;19.3;18.9;18.7;18.3;19.51
Benin;8.4;8.5;8.3;8.3;8.2;8.1;8;8;7.9;7.8;8.15
Bhutan;4.2;4.3;4.3;4.4;4.4;4.5;4.5;4.6;4.6;4.6;4.44
Bolivia;6;6.1;6;6;6.2;6.4;6.6;6.4;6.3;6.2;6.22
Bosnia and Herzegovina;10.5;10.6;10.4;10.6;10.6;10.7;10.5;10.5;10.8;10.9;10.61
Botswana;24.4;22.7;22.6;21.6;19.6;19;17.8;17.4;17.4;16.1;19.86
Brazil;5;5.2;5.4;5.6;5.6;5.9;6;6.6;7;6.9;5.92
Bulgaria;12.4;11;12.5;10.5;10.4;9.8;9.7;10.3;9.7;9.7;10.6
Burkina Faso;8;7.9;8.3;8.3;8;8;7.8;7.7;7.6;7.5;7.91
Burundi;7.6;7.4;7.1;7;6.7;6.4;6.4;6.4;6.3;6.2;6.75
Cambodia;5.4;5.3;5.2;5.2;5.1;5.1;5.1;5;4.9;4.9;5.12
Cameroon;10.8;10.8;10.6;10.4;10;9.5;9.2;9;8.9;9;9.82
Canada;12.1;11.3;11.8;12.1;12.7;13;11.9;13;12;11.8;12.17
Central African Republic;15.8;15.4;14.7;14.9;15.6;14.4;13.7;14.3;12.8;12.3;14.39
Chad;7.7;7.7;7.6;7.4;7.1;6.8;6.7;6.7;6.6;6.4;7.07
Chile;11.6;11.7;10.5;9.8;9.9;10;10;9.3;8.8;9;10.06
China;10.2;9.6;9;8.6;8.4;8.1;8.2;8.1;8.1;8.1;8.64
Colombia;3.8;3.7;3.8;3.7;3.8;4.1;4.2;4.7;4;3.9;3.97
Costa Rica;6.9;6.9;6.6;6.7;5.6;6.7;7.7;6.1;7.2;8.1;6.85
Croatia;18.3;16.4;18.4;16.5;17.3;17.6;16.4;15.7;16.4;16.4;16.94
Cyprus;5.3;4.3;5.4;5.7;5.4;4.7;4.6;3.7;4.2;3.6;4.69
Czech Republic;15;16.1;16.7;15.7;14.8;13.6;13;13.9;13.6;12.2;14.46
Denmark;11.8;12.6;12.8;12.1;12;10.9;10.9;11.3;11.4;10.7;11.65
Dominican Republic;4.7;4.9;5.2;5.5;6.1;6.4;6.4;5.7;5.2;4.9;5.5
Ecuador;9.9;9.8;10.1;9.6;8.8;8.8;9;9.2;8.1;7.6;9.09
El Salvador;6.1;8;6.8;6.4;5.8;6.9;5.7;6.1;6;6.1;6.39
Estonia;18.8;18.2;21.1;18.9;19.5;15.9;15.7;18.7;15.3;14.9;17.7
Ethiopia;7.1;6.7;6.1;5.7;5.5;5.5;5.5;5.4;5.4;5.4;5.83
Finland;18.6;17.9;17;17.2;15.4;14;15.2;15.9;16.2;15.3;16.27
France;18.2;18;17.8;17;15.6;15.8;14.9;14.6;14.2;13.8;15.99
Gabon;10.1;10;8.9;8.6;9.8;9.6;9.2;8.8;8.6;8.4;9.2
Georgia;8.3;8.7;9.2;9.8;10.3;10.5;10.7;9.6;9.4;9.2;9.57
Germany;13.2;13.2;12.9;13.4;13.4;13.3;13;12.6;12.9;12.3;13.02
Ghana;7.8;7.8;7.8;7.7;7.5;7.3;7.2;7;6.6;6.6;7.33
Greece;3.5;4.4;4.8;5;5.3;5;4.7;5.1;5.1;5.1;4.8
Guatemala;7.3;6.6;6.1;5.9;5.8;5.8;5.7;5.6;6;5.9;6.07
Guinea;6.8;7;7.1;7.3;7.1;7.2;7.1;7;6.9;7;7.05
Haiti;10.9;10.1;10;9.9;10;10;9.8;9.7;9.7;9.6;9.97
Honduras;2;1.9;3.3;3.2;3.4;4;2;2.1;2;2.1;2.6
Hungary;25.5;25.1;24.8;22.1;20.4;19.9;18.7;17.5;17.7;16.6;20.83
Iceland;12.8;11.6;13.5;13.9;15.7;14.3;13;12.2;10.8;11.9;12.97
India;14.6;14.7;14.3;13.7;12.8;12.3;12.1;12;12.6;12.7;13.18
Indonesia;2.6;2.6;2.5;2.5;2.4;2.4;2.4;2.4;2.4;2.4;2.46
Iraq;3.9;4.1;4.1;4.2;4.1;4.1;4;3.9;3.7;3.6;3.97
Ireland;11.9;12.5;12.4;11.4;11;9.3;10;10;9.9;9.6;10.8
Israel;6.7;5.7;6.1;5.2;5.1;4.5;5.2;5.1;5.4;5.3;5.43
Italy;6.9;7.4;7.6;7.5;7.2;7.1;6.6;7.1;6.7;6.7;7.08
Jamaica;1.9;2.2;2.1;2;2.2;2.2;2.2;2.3;2.3;2.4;2.18
Japan;24.1;23.4;21.6;21.4;20.1;19.1;17.5;17;16.7;15.3;19.62
Jordan;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;1.6;1.52
Kazakhstan;29.9;28.7;27.6;26.3;24.2;23.2;21.7;20.8;19;17.6;23.9
Kenya;6;5.9;5.9;5.9;5.7;5.5;5.4;5.6;6;6.1;5.8
Kuwait;2.5;2.3;2.4;2.4;2.5;2.6;2.6;2.7;2.8;2.9;2.57
Latvia;22.5;22.7;23.5;20.6;20.7;21.6;21.3;21.4;18.1;20.1;21.25
Lebanon;3;3;3;3;2.8;2.8;2.7;3;2.5;2.8;2.86
Lesotho;65.4;69.5;79.1;87.6;92.6;92.4;87;78.3;76.6;72.4;80.09
Liberia;4.9;5;5;4.9;4.9;4.5;4.5;4.5;4.4;4.5;4.71
Libya;5.6;5.1;5.7;4.8;6.3;5.6;5;5.5;5.8;4.5;5.39
Lithuania;37.2;38.1;35;40.5;35.6;34.9;32.8;29.7;27.4;26.1;33.73
Luxembourg;12;11.9;11.3;11.3;12.7;12.2;10.2;9.8;10.6;11.3;11.33
Madagascar;5.7;5.7;5.6;5.6;5.6;5.5;5.5;5.5;5.5;5.5;5.57
Malawi;8.2;7.3;6.8;6.4;6.3;6.2;6.1;5.9;5.6;5.4;6.42
Malaysia;4.5;4.6;4.6;4.4;4.6;4.8;5.1;5.4;5.4;5.7;4.91
Mali;4.5;4.5;4.5;4.5;4.4;4.3;4.2;4.1;4.1;4.1;4.32
Malta;7.5;6.8;6;6.8;7.1;7.2;5.8;5.5;6;6.1;6.48
Mauritania;3.1;3;3.1;3.1;3.1;3;3;3.1;3.1;3.1;3.07
Mauritius;7.8;9;9.6;8.2;10.2;7.9;8.1;9.6;8.7;9.5;8.86
Mexico;4.5;5.2;4.9;5.2;5.7;5.6;5.6;5.9;5.4;5.3;5.33
Moldova;20.5;15.3;17;17;17.2;16.2;15.9;14.9;14.4;14.7;16.31
Mongolia;23.4;22.7;21.7;21;20;20;20.1;19.2;18.6;17.9;20.46
Montenegro;20.3;20.9;21;20.4;20.6;20.7;20.8;21.1;21.2;21;20.8
Morocco;9.2;9.2;8.9;8;7.7;7.4;7.2;7.1;7.2;7.2;7.91
Mozambique;14.9;15.3;15.7;15.3;14.4;13.9;13.6;13.4;13.5;13.6;14.36
Myanmar;3.5;3.4;3.3;3.3;3.2;3.2;3.2;3;2.9;2.9;3.19
Namibia;12.9;11.4;10.2;10.2;10.9;11.6;10.7;10.9;9.9;9.7;10.84
Nepal;8.7;8.9;8.9;8.7;8.5;8.5;8.5;8.7;8.8;9;8.72
Netherlands;9.8;10.1;10.7;11.8;11.6;11.8;11.9;12.1;11.4;11.8;11.3
New Zealand;12.6;11.4;12.7;12.2;11.3;11.7;12.2;12.7;11.4;11;11.92
Nicaragua;4.8;5.5;4.4;5.3;4.5;4.2;4.4;4.4;4.5;4.4;4.64
Niger;5.3;5.4;5.5;5.5;5.5;5.4;5.3;5.3;5.3;5.3;5.38
Nigeria;4.4;4.4;4.2;4.1;3.9;3.7;3.7;3.6;3.5;3.5;3.9
Norway;12.4;13.3;11.4;11.8;11.6;12.5;12.6;12.1;12;11.8;12.15
Pakistan;8.8;8.7;8.8;8.9;8.9;9;9.1;9.1;8.9;8.9;8.91
Panama;4.2;3.8;3.6;3.4;4.1;2.9;3.3;3.2;2.9;2.9;3.43
Paraguay;3.5;4.6;4.6;4.9;5.9;5.7;5.3;6.1;6;6;5.26
Peru;3.5;3.3;3.2;3.1;2.9;2.7;2.6;2.7;2.8;2.8;2.96
Philippines;2.4;2.7;2.4;2.4;2.3;2.3;2.2;2.2;2.2;2.2;2.33
Poland;18.6;18;18.5;18.2;17.4;15.9;13.8;13.3;12.7;11.3;15.77
Portugal;13.6;12.3;13.5;12.5;14.2;13.2;11.4;12;11.7;11.5;12.59
Qatar;8.2;8;7.4;6.7;6.3;6.1;6.1;5.8;5.8;5.8;6.62
Romania;13.2;12.1;12.6;12.2;11.3;11.5;10.2;10.1;10.2;9.7;11.31
Rwanda;6.6;6.2;6;5.8;5.8;5.7;5.7;5.6;5.6;5.6;5.86
Saudi Arabia;5.5;6.1;6.4;6.5;6.6;6.3;6.3;6.2;6.1;6;6.2
Senegal;6.6;6.5;6.5;6.5;6.5;6.4;6.3;6.2;6.1;6;6.36
Serbia;17.2;18;18.2;17.9;17;16.4;15.2;0.6;11.3;11.4;14.32
Sierra Leone;6.8;6.5;6.6;6.3;6.2;5.9;6.2;6.3;6.6;6.7;6.41
Singapore;9.9;9.6;11.3;10.3;10.2;9;9.1;9;9.4;11.2;9.9
Slovenia;20.7;21.6;22;22.2;19.6;21;19;20.9;17.8;19.8;20.46
Somalia;8.2;8.1;8.1;8.1;8.1;8;7.9;8;8;7.9;8.04
South Africa;24.6;22.4;22.9;23.7;24.1;24.5;24.4;25.2;24.1;23.5;23.94
South Sudan;3.7;3.6;3.7;3.6;3.5;3.6;3.7;3.7;3.8;3.9;3.68
Spain;6.9;7.1;7.7;8.5;8.6;7.9;7.8;8.2;7.8;7.7;7.82
Sri Lanka;21.9;17.9;16.6;15.2;13.1;15.1;14.8;14.4;14.2;14;15.72
Sweden;14.7;14.2;15;15.9;14.8;15.7;14.6;15;14.9;14.7;14.95
Switzerland;14.5;14.6;14.7;15.1;14.7;15;14.1;14.6;14.5;14.5;14.63
Tajikistan;4;4;4.1;4;4.1;4.1;4.3;4.2;4.2;4.3;4.13
Tanzania;5;4.8;4.3;4.4;4.2;4.2;4.2;4.2;4.2;4.3;4.38
Thailand;8.1;8;7.9;7.5;7.8;8;8.5;8.4;8.8;8.8;8.18
Togo;10.4;10.4;10.4;10.3;10.1;9.7;9.3;9;8.7;8.8;9.71
Tunisia;3.5;3.4;3.4;3.3;3.2;3.1;3.1;3.1;3.2;3.3;3.26
Turkmenistan;8.5;7.6;7.1;7.1;6.8;6.3;6.2;5.8;5.7;5.7;6.68
Uganda;6.3;6.3;5.7;5.2;4.8;4.7;4.7;4.4;4.4;4.6;5.11
Ukraine;24.5;23;23.1;22.6;24.4;21.6;21.4;20.6;21.9;21.6;22.47
United Arab Emirates;8.4;8.2;7.9;7.5;7;6.5;6;5.6;6;6.4;6.95
United Kingdom;7.8;8.3;8.2;8.8;8.6;8.8;8.5;8.2;8.1;7.9;8.32
United States;13.1;13.4;13.5;13.5;14;14.4;15.1;15.9;15.7;16.1;14.47
Uruguay;16;16.8;17.8;15.8;17.4;18.6;21.1;20.8;21.2;21.2;18.67
Uzbekistan;8.1;8.5;8.9;8.9;9;9.2;9.1;8.8;8.6;8;8.71
Vietnam;7;7.2;7.4;7.5;7.6;7.7;7.7;7.7;7.6;7.5;7.49
Zambia;10.1;10.3;9.4;9.1;9;8.7;8.5;8.5;8.1;7.3;8.9
Zimbabwe;21.5;20.7;19.7;18.6;18.2;18;16.8;15;14;14.1;17.66
